ACTOR NAME,SOCRADAR RANK,ALIASES,SECTORS,TARGET COUNTRIES,TOTAL IOCS
FIN7,43,Calcium|ATK 32|Gold Waterfall|TAG-CR1|Navigator|FIN7|ELBRUS|Gold Niagara|Sangria Tempest|Carbon Spider|Carbanak|APT-C-11|Anunak|ITG14,Construction|Public Administration|Educational Services|Energy & Utilities |Telecommunications|Transportation&Warehousing|Retail|Agriculture&Forestry|Electrical&Electronical Manufacturing|Finance|HealthCare & Social Assistance,China|Russia|Sweden|Germany|Morocco|Taiwan|France|Switzerland|Uzbekistan|Iceland|Australia|Poland|Malta|Brazil|Bulgaria|Czech|Pakistan|Hong Kong|UK|India|Ukraine|Austria|Nepal|Norway|USA|Canada|Luxembourg|Spain,2878
Budminer,501,Budminer cyberespionage group|Budminercyberespionagegroup,,,0
UNC2891,241,UNC2891,Finance,,0
TA866,141,,,,61
UNC3569,415,,,,0
Wild Neutron,76,Sphinx Moth|Wild Neutron|Morpho|Butterfly|The Postal Group,Finance|HealthCare & Social Assistance,Switzerland|Russia|Kazakhstan|UAE|Algeria|Palestine|Australia|USA|Germany|France|UK|Slovenia|Poland|Canada|Austria|Spain,0
GURU SPIDER,725,,,,0
BRONZE HIGHLAND,211,BRONZE HIGHLAND|Evasive Panda|EvasivePanda|Daggerfly|BRONZEHIGHLAND|BronzeHighland|Bronze Highland,Educational Services|Other|Public Administration|Telecommunications,Tibet|China|Macao|Nigeria|Africa|Malaysia|Vietnam|Myanmar|Taiwan|Hong Kong|India|Philippines,80
IndigoZebra,247,IndigoZebra,,Uzbekistan|Kyrgyzstan|Afghanistan,0
BuhTrap,652,Ratopak Spider|UAC-0008|Buhtrap,Finance|Public Administration,Russia|Ukraine,0
Hammer Panda,585,Zhenbao|TEMP.Zhenbao,,,0
Ayyıldız Tim,702,CrescentandStar|Crescent and Star,,,0
Violin Panda,332,APT 8|APT 20|TH3Bug|Violin Panda|Crawling Taurus,Air Transportation|Construction|Public Administration|Energy & Utilities |Chemical&Pharmaceutical Manufacturing|National Security&International Affairs|Telecommunications|Transportation&Warehousing|Electrical&Electronical Manufacturing|Finance|HealthCare & Social Assistance,China|Mexico|Thailand|USA|Germany|UK|Portugal|Italy|East Asia|Brazil|France|Spain,0
Sima,531,Sima,,This group targets Iranians in diaspora,53
APT42,1,APT42|APT 42|CALANQUE|UNC788,Manufacturing|Public Administration|Educational Services|Energy & Utilities |Justice & Safety Activities|Chemical&Pharmaceutical Manufacturing|National Security&International Affairs|Civic&Social Organizations|Finance|HealthCare & Social Assistance,Europe|UAE|Middle East|Bulgaria|US|Israel|Iran|Australia|Norway|Malaysia|USA|UK|Italy|Ukraine,247
UNC2447,497,UNC2447,,Europe and North America,0
DEV-0147,379,,,South America|Asia|European Union,0
1937CN,633,,,,0
EvilPost,676,,,,0
Dark Caracal,722,Dark Caracal|ATK 27|TAG-CT3,Energy & Utilities |Manufacturing|Finance|Educational Services|HealthCare & Social Assistance|Public Administration|National Security&International Affairs,China|Russia|Germany|Philippines|France|Switzerland|Jordan|Vietnam|Saudi Arabia|Pakistan|Netherlands|India|Italy|South Korea|Venezuela|Nepal|Qatar|Thailand|USA|Lebanon|Syria,247
BRONZE VAPOR,454,,Electrical&Electronical Manufacturing,Taiwan,0
Lotus Blossom,294,STGroup|Lotus BLossom|ST Group|Esile|ATK1|Spring Dragon|LOTUSPANDA|G0030|DRAGONFISH|SpringDragon|Red Salamander|BRONZE ELGIN|LotusBLossom|RedSalamander|BRONZEELGIN,Manufacturing|HealthCare & Social Assistance|Public Administration|National Security&International Affairs,Japan|Indonesia|Vietnam|Hong Kong|Taiwan|Philippines,1023
POISON CARP,148,EvilBamboo|Evil Eye|Earth Empusa|Poison Carp|Red Dev 16,,China|Kazakhstan|Australia|Syria|USA|Canada|Turkey,162
Dalbit,298,Dalbit,Construction|Educational Services|Energy & Utilities |Automotive|Chemical&Pharmaceutical Manufacturing|Agriculture&Forestry|Electrical&Electronical Manufacturing|Other|HealthCare & Social Assistance,South Korea,1394
GRIM SPIDER,599,GOLDULRICK|GOLDULRICK,,,0
Operation Rusty Flag,299,OperationRustyFlag|Operation Rusty Flag,,Azerbaijan,0
Operation Domino,477,Operation Domino|Operation Kremlin,,Belarus,0
Fishing Elephant,526,Fishing Elephant|OutriderTiger|FishingElephant|Outrider Tiger,Public Administration,China|Bangladesh|Germany|Pakistan|Ukraine|Turkey,0
VIKING SPIDER,552,Viking Spider,Energy & Utilities |Construction|HealthCare & Social Assistance|Telecommunications|Automotive,Japan|USA|Portugal|Italy|Greece,0
Storm-0324,659,TA543|DEV-0324|Sagrid,,,36
Mikroceen,286,Mikroceen|SixLittleMonkeys,Mining|Public Administration|Telecommunications|National Security&International Affairs,Belarus|Russia|Central Asia|Mongolia,141
Callisto,27,Star Blizzard|BlueCharlie|COLDRIVER|GOSSAMERBEAR|TA446|SEABORGIUM|StarBlizzard|GOSSAMER BEAR,,,846
AtlasCross,612,AtlasCross,,,0
Caramel Tsunami,549,Candiru|SOURGUM,,,0
GambleForce,365,,,,0
NOCTURNAL SPIDER,486,,,,0
TaskMasters,648,TaskMasters,Energy & Utilities |Construction|Manufacturing|Transportation&Warehousing|Public Administration|Electrical&Electronical Manufacturing,Russia|CIS,0
GOLD PRELUDE,743,UNC1543|TA569,,,1228
Red Charon,737,,,,0
NineBlog,660,NineBlog,Public Administration,"South Asia, Southeast Asia and Middle East",0
APT37,99,ITG10|Red Eyes|APT 37|Ruby Sleet|Crooked Pisces|Group 123|InkySquid|TEMP.Reaper|Ricochet Chollima|Osmium|Hermit|Reaper|ScarCruft|Geumseong121|ATK 4|Moldy Pisces|Cerium|Opal Sleet|Venus 121,Manufacturing|Public Administration|Educational Services|Space & Defense|Automotive|Chemical&Pharmaceutical Manufacturing|Transportation&Warehousing|Electrical&Electronical Manufacturing|Finance|HealthCare & Social Assistance,Romania|China|Nepal|Russia|Japan|Czech|USA|Vietnam|Hong Kong|Kuwait|UK|Poland|India|South Korea,5277
Curious Gorge,479,CuriousGorge|UNC3742|Curious Gorge,Public Administration|National Security&International Affairs|Delivery Services,Russia|Kazakhstan|Mongolia|Ukraine,0
OVERLORD SPIDER,308,,,,0
Careto,28,Careto|Mask|The Mask|Ugly Face,Energy & Utilities |Educational Services|Public Administration,Switzerland|Venezuela|Iran|Libya|Tunisia|USA|Germany|Morocco|South Africa|UK|Poland|Brazil|France|Spain,5193
APT27,522,BRONZEUNION|Group35|ATK15|Emissary Panda|Budworm|RedPhoenix|EmissaryPanda|Iron Tiger|IronTiger|TEMP.Hippo|APT27|TG-3390|BronzeUnion|IronTaurus|BRONZE UNION|ZipToken|Threat Group-3390|EarthSmilodon|LuckyMouse,Manufacturing|Educational Services|Public Administration|Electrical&Electronical Manufacturing|Air Transportation|Telecommunications|Space & Defense|National Security&International Affairs,Turkey|South Korea|Hong Kong|Russia|Middle East|Spain|China|Thailand|Canada|Australia|UK|Mongolia|USA|Taiwan|Tibet|Israel|Iran|Japan|Philippines|Germany|India,0
Earth Kitsune,624,,,,0
DEXTOROUS SPIDER,691,,,,0
UNC3890,248,,,,0
CoralRaider,153,,,,27
KromSec,519,,,,0
MAGNALLIUM,422,Cobalt Trinity|Peach Sandstorm|APT 33|Holmium|Refined Kitten|Yellow Orc|Magnallium|Elfin|Curious Serpens|ATK 35|TA451,Air Transportation|Manufacturing|Public Administration|Educational Services|Energy & Utilities |Chemical&Pharmaceutical Manufacturing|National Security&International Affairs|Electrical&Electronical Manufacturing|Finance|HealthCare & Social Assistance,Israel|Iran|Iraq|USA|UK|Saudi Arabia|South Korea,2169
SINGING SPIDER,690,,,,0
GhostNet,123,Snooping Dragon|GhostNet,Finance|Public Administration,"Brunei|Indonesia|Germany|Taiwan|Cyprus|Philippines|Romania|Barbados|SAARC (South Asian Association for Regional Cooperation), the Asian Development Bank and news organizations|Latvia|Malta|Iran|NATO|Pakistan|Portugal|India|South Korea|Thailand|Bhutan|Bangladesh|ASEAN",1445
Operation Earth Kitsune,470,Operation Earth Kitsune|OperationEarthKitsune,,Worldwide except South Korea,0
Void Rabisu,51,Storm-0978|Tropical Scorpius|Void Rabisu|RomCom|DEV-0978,Manufacturing|Construction|Public Administration|Educational Services|Energy & Utilities |Transportation&Warehousing|Electrical&Electronical Manufacturing|Finance|HealthCare & Social Assistance,,0
Storm-0530,161,DEV-0530|H0lyGh0st,,,0
Webworm,321,Space Pirates|Webworm|SpacePirates,Energy & Utilities |Space & Defense,Russia|Serbia|Mongolia|Georgia,0
Metador,130,,,,0
Storm-0867,575,DEV-0867,,,0
NEODYMIUM,168,Neodymium,,Europe,250
CopyKittens,594,CopyKittens|Slayer Kitten,Educational Services|Public Administration|National Security&International Affairs,Israel|Jordan|USA|Germany|Saudi Arabia|Turkey,3
APT-C-36,404,BlindEagle|APT-C-36|Blind Eagle,Manufacturing|Construction|Public Administration|Educational Services|Restaurants|Energy & Utilities |Justice & Safety Activities|National Security&International Affairs|Mining|Telecommunications|Retail|Other|Finance|HealthCare & Social Assistance,Colombia|Ecuador|Australia|Chile|Georgia|Panama|Singapore|India|Spain,1944
Wet Panda,680,Red Chimera|RedChimera,,,0
RAZOR TIGER,66,T-APT-04|APT-Q-39|Rattlesnake|SideWinder|BabyElephant|HN2|APT-C-17|Razor Tiger|Hardcore Nationalist|GroupA21,Public Administration|National Security&International Affairs,China|Nepal|Sri Lanka|Qatar|Bhutan|Bangladesh|Afghanistan|Pakistan|Myanmar|Turkey,4160
MageCart,98,,,,1825
Higaisa,191,,Public Administration,Switzerland|China|Nepal|Russia|Japan|North Korea|Singapore|Poland,14
Cuboid Sandstorm,484,DEV-0228,,,0
Vanilla Tempest,69,DEV-0832|Vice Society|ViceSociety,,,1
HAFNIUM,738,Operation Exchange Marauder|ATK233|OperationExchangeMarauder|Hafnium|Red Dev 13|G0125|SilkTyphoon|RedDev13|Silk Typhoon,,Worldwide,2
Mustard Tempest,352,DEV-0206|PurpleVallhund|Purple Vallhund,,,0
RevengeHotels,433,RevengeHotels,HealthCare & Social Assistance,Spain|Argentina|Mexico|Thailand|Chile|Costa Rica|Portugal|Italy|Bolivia|Turkey|France|Brazil,0
Copy-Paste,92,,Public Administration,Australia,0
Operation Ghostwriter,118,DEV-0257|PUSHCHA|UNC1151|Operation Ghostwriter|OperationGhostwriter|UAC-0051|Storm-0257|TA445,Educational Services|Public Administration|National Security&International Affairs,Switzerland|Estonia|Colombia|Lithuania|Ireland|Germany|Kuwait|Poland|Latvia|Ukraine|France,0
Mirage Tiger,133,,,Germany,0
ModifiedElephant,410,,Civic&Social Organizations,,0
[Unnamed groups: Iran],217,[Unnamedgroups:Iran]|[Unnamed groups: Iran],Other|Public Administration|Air Transportation|Telecommunications,Bahrain|Indonesia|Malaysia|Morocco|Philippines|Turkey|Kenya|Israel|Sri Lanka|Oman|Kyrgyzstan|Australia|New Zealand|Dubai|Ethiopia|UAE|Colombia|Pakistan|Hong Kong|Kuwait|South Africa|India|Azerbaijan|Fiji|Iraq|Qatar|Thailand|Afghanistan|Egypt|USA|Lebanon|Mauritius|Syria,0
TA459,362,TA459,Finance|Publishing Services|Telecommunications,Belarus|Russia|Mongolia|Central Asia others,0
TAG-56,457,,,,0
Blacktail,224,,,,0
Bignosa,367,,,,0
BiBiGun,503,,,,0
BANISHED KITTEN,515,DUNE|Storm-0842,Educational Services|HealthCare & Social Assistance|Public Administration|Chemical&Pharmaceutical Manufacturing|Electrical&Electronical Manufacturing|Telecommunications|Civic&Social Organizations,Europe|Middle East|Israel|United States,0
TA2541,324,TA2541,Transportation&Warehousing|Air Transportation|Space & Defense|National Security&International Affairs,,1
Kimsuky,65,APT 43|Black Banshee|SharpTongue|Emerald Sleet|Kimsuky|KTA082|ARCHIPELAGO|ITG16|Velvet Chollima|TA406|TA427|Thallium,Energy & Utilities |Manufacturing|Educational Services|HealthCare & Social Assistance|Public Administration|National Security&International Affairs,Europe|Japan|Thailand|USA|Vietnam|South Korea,24576
Guacamaya,673,,,,0
Stolen Pencil,461,,,,0
Denim Tsunami,227,KNOTWEED|DSIRF,,,0
AeroBlade,285,AeroBlade,Space & Defense,USA,0
Storm-1152,190,,,,0
SaintBear,250,Storm-0587|UAC-0056|FROZENVISTA|Nodaria|TA471|UNC2589|SaintBear|Ember Bear|Lorec53|Nascent Ursa,Energy & Utilities |Transportation&Warehousing|Finance|Public Administration,USA|Ukraine|Georgia,179
Operation Harvest,170,OperationHarvest|Operation Harvest,,,0
Big Panda,683,,,,6
FamousSparrow,619,Earth Estries|FamousSparrow|EarthEstries,HealthCare & Social Assistance|Public Administration,Israel|Burkina Faso|Guatemala|Lithuania|Thailand|Taiwan|South Africa|UK|Saudi Arabia|Canada|Brazil|France,0
r00tk1t,576,,,,0
SNOWGLOBE,354,SIG20|ATK 8|Snowglobe|Animal Farm,Public Administration|National Security&International Affairs,China|Russia|Malaysia|Germany|Morocco|Turkey|Israel|New Zealand|Iran|UK|Netherlands|Ukraine|Greece|Austria|Algeria|Iraq|Norway|USA|Cote d'Ivoire|Congo|Syria|Spain,0
APT 5,22,Bronze Fleetwood|Poisoned Flight|Keyhole Panda|TEMP.Bottle|Mulberry Typhoon|Manganese|TG-2754|APT 5,Other|Electrical&Electronical Manufacturing|Telecommunications|National Security&International Affairs,Southeast Asia,5
Operation Layover,578,Operation Layover|OperationLayover,,,0
EvilTraffic,516,OperationEvilTraffic|Operation EvilTraffic,,,0
TurkHackTeam,70,Turk Hack Team|TurkHackTeam,,,0
Tortoiseshell,58,Marcella Flores|UNC1549|Imperial Kitten|Curium|TA456|Crimson Sandstorm|Tortoiseshell|Yellow Liderc|Houseblend,Space & Defense|National Security&International Affairs,Saudi Arabia|UAE|Middle East|USA,211
Lancefly,320,Lancefly,Educational Services|Public Administration|Air Transportation|Telecommunications,South and Southeast Asia,0
Aoqin Dragon,437,UNC94|AoqinDragon|Aoqin Dragon,Educational Services|Public Administration|Telecommunications,Cambodia|Australia|Vietnam|Hong Kong|Singapore,0
Hurricane Panda,394,TG-3551|Deep Panda|APT 19|C0d0so0|Red Pegasus|Sunshop Group|Bronze Firestone|Codoso|Pupa|Hurricane Panda,Manufacturing|Public Administration|Educational Services|Energy & Utilities |Chemical&Pharmaceutical Manufacturing|National Security&International Affairs|Telecommunications|Electrical&Electronical Manufacturing|Finance,USA|Australia,266
MONTY SPIDER,456,,,,0
Silence group,278,ATK 86|Contract Crew|Whisper Spider|TEMP.TruthTeller|Silence|TAG-CR8,Manufacturing|Finance|Public Administration|Chemical&Pharmaceutical Manufacturing,China|Kazakhstan|Russia|Mexico|Indonesia|Gibraltar|Malaysia|Sweden|Germany|Taiwan|Costa Rica|Cyprus|Belgium|Turkey|France|Armenia|Kenya|Romania|Israel|Switzerland|Uzbekistan|Jordan|Sri Lanka|Australia|Ireland|Kyrgyzstan|Chile|Vietnam|Saudi Arabia|Poland|Latvia|Belize|Antigua and Barbuda|Seychelles|Belarus|UAE|Bulgaria|Finland|Ghana|Czech|Croatia|Pakistan|Hong Kong|Jamaica|Moldova|Netherlands|Panama|UK|India|Greece|South Korea|Austria|Ukraine|Azerbaijan|Thailand|Bangladesh|Norway|USA|Serbia|Georgia|Singapore|Canada|Luxembourg|Spain,3552
UNC4841,351,,,,0
LabHost,649,,,,0
COBALT KATANA,150,xHuntcampaign(PaloAlto)|xHunt campaign (Palo Alto)|SectorD01(NHSC)|Hive0081 (IBM)|Hunter Serpens|SectorD01 (NHSC)|HunterSerpens|Hive0081(IBM),,,0
Common Raven,164,NXSMS|Bluebottle|OPERA1ER|DESKTOP-GROUP|Common Raven,Finance|Telecommunications,Senegal|Sierra Leone|Mali|Burkina Faso|Argentina|Benin|Nigeria|Niger|Togo|Bangladesh|Cote d'Ivoire|Cameroon|Paraguay|Gabon|Uganda,93
APT.3102,469,,,,0
GOLD WATERFALL,740,,,,0
Earth Kapre,508,Earth Kapre|EarthKapre|Red Wolf|RedWolf|RedCurl,Construction|Retail|Finance,Russia|Australia|Norway|Germany|UK|Canada|Ukraine,0
WIP26,226,WIP26,Telecommunications,Middle East,0
Edalat-e Ali,615,,,,0
SmugX,500,,,,149
Dropping Elephant,80,APT-C-09|Chinastrats|Patchwork|Dropping Elephant|Quilted Tiger|TG-4410|Capricorn Organisation|Viceroy Tiger|Thirsty Gemini|Zinc Emerson|Monsoon|Maha Grass|Operation HangOver|ATK 11|Neon,Air Transportation|Public Administration|Energy & Utilities |Chemical&Pharmaceutical Manufacturing|National Security&International Affairs|Telecommunications|Finance|HealthCare & Social Assistance,China|Russia|Indonesia|Middle East and Southeast Asia|Germany|Myanmar|Taiwan|Africa and Far East|France|Romania|Israel|Jordan|Sri Lanka|Oman|Cambodia|Poland|UAE|Iran|Pakistan|Kuwait|UK|Panama|India|South Korea|Austria|Nepal|Japan|Thailand|Bangladesh|Norway|USA|Singapore|Canada,264
BadRory,614,,,,0
Operation Titan Rain,550,OperationTitanRain|Operation Titan Rain,Energy & Utilities |Public Administration|National Security&International Affairs,USA|UK,0
Red Dev 17,183,,Energy & Utilities |Electrical&Electronical Manufacturing|National Security&International Affairs,India,0
OnionDog,666,OnionDog,Energy & Utilities |Transportation&Warehousing|Other|Public Administration,South Korea,0
Evil Corp,574,GOLDDRAKE|GOLD DRAKE,,,376
FIN8,368,Syssphinx|FIN8|ATK 113,Agriculture&Forestry|Retail|Finance|HealthCare & Social Assistance,USA|South Africa|Panama|Italy|Canada,268
UNC4191,60,UNC4191,,Philippines,0
GC01,282,GoldenChickens01|Golden Chickens 02|Golden Chickens01|GoldenChickens02|Golden Chickens02|Golden Chickens|Golden Chickens 01|GoldenChickens,,,236
El Machete,662,TEMP.Andromeda|ElMachete|ATK 97|El Machete|Machete|ATK97|APT-C-43|TAG-NS1|machete-apt|G0095,Manufacturing|Public Administration|Educational Services|Energy & Utilities |National Security&International Affairs|Telecommunications|Electrical&Electronical Manufacturing|HealthCare & Social Assistance,"China|Kazakhstan|Russia|Nicaragua|Argentina|Guatemala|Mexico|Malaysia|Sweden|Germany|others|Belgium|Armenia|France|Venezuela, Bolivarian Republic of|Israel|Uzbekistan|Tajikistan|Turkmenistan|Kyrgyzstan|Saudi Arabia|Poland|Bolivia|Brazil|United States|Belarus|Colombia|Moldova, Republic of|Pakistan|UK|Ukraine|South Korea|Venezuela|Russian Federation|Ecuador|Dominican Republic|Thailand|USA|Peru|Canada|Cuba|Spain",1778
Confucious,596,,,,0
Red-Lili,214,,,,0
Grayling,209,Grayling,Manufacturing|Information Services|Public Administration|Chemical&Pharmaceutical Manufacturing|Electrical&Electronical Manufacturing,United States|Solomon Islands|USA|Vietnam|Taiwan|Pacific Islands,68
DEV-0586,109,Cadet Blizzard|DEV-0586|CadetBlizzard|Ruinous Ursa|RuinousUrsa,Public Administration,"Ukraine|Europe, Central Asia and Latin America",0
Keyhole Panda,82,temp.bottle,,,0
REF5961,59,,,,0
Redfly,151,,,,0
TA516,647,,,,0
Lucky Cat,729,Lucky Cat|WhiteDev9|LuckyCat|White Dev 9|TA413,Space & Defense|National Security&International Affairs,Tibet|India|Japan|Malaysia,44
Storm-1084,487,DEV-1084,,,0
Hunters International,77,hive,Retail|Transportation&Warehousing|Educational Services|HealthCare & Social Assistance|Automotive,"Germany|Spain|Korea, Republic of|United Kingdom|Brazil|United States|Canada",1
AppMilad,529,,,,0
RGB-TEAM,587,,,Russia,0
Calypso,637,BronzeMedley|Bronze Medley|BRONZEMEDLEY|BRONZE MEDLEY|Calypso,Public Administration,Belarus|Russia|Kazakhstan|Mongolia|Kyrgyzstan|Thailand|Afghanistan|India|Ukraine|Turkey|Brazil,347
Calypso group,541,,,United Arab Emirates,1
Kinsing,47,MoneyLibra|Money Libra,,,5714
Syrian Electronic Army (SEA),9,ATK 196|Syrian Electronic Army|Deadeye Jackal|TAG-CT2|Syria Malware Team,Retail|Public Administration|Electrical&Electronical Manufacturing|Telecommunications|National Security&International Affairs,Middle East|USA|UK|Canada|France,0
Pusikurac,510,Pusikurac,,,0
Magic Kitten,95,VOYEUR|MagicKitten|Magic Kitten|Group 42|Group42,,Switzerland|UAE|Iraq|Qatar|Thailand|Indonesia|Sweden|Germany|Pakistan|Netherlands|Lebanon|India,0
PLATINUM,44,ATK 33|TwoForOne|Platinum,Finance|Public Administration|Telecommunications|National Security&International Affairs,China|Thailand|Indonesia|Malaysia|Vietnam|Singapore|India,0
UserSec,418,,,,0
TA428,104,Bronze President|Red Lich|Panda|Vicious Panda|Mustang Panda|TEMP.Hex|HoneyMyte|PKPLUG|Bronze Dudley|Stately Taurus|Earth Preta|Camaro Dragon|ThunderCats|TA428,Educational Services|HealthCare & Social Assistance|Public Administration|Air Transportation|Telecommunications,Russia|China|Mongolia|Indonesia|South Sudan|Sweden|Germany|Myanmar|Taiwan|Cyprus|Hungary|Belgium|Philippines|France|Tibet|Australia|Vietnam|Ethiopia|Belarus|Bulgaria|Czech|Pakistan|Hong Kong|South Africa|UK|India|Ukraine|Greece|South Korea|Nepal|Japan|Thailand|Bangladesh|Afghanistan|UN|USA|Slovakia|Singapore|East Asia,5535
Safe,106,Safe,Educational Services|Public Administration|Electrical&Electronical Manufacturing,China|Russia|Mongolia|South Sudan|Malaysia|Hungary|Philippines|Romania|Australia|Saudi Arabia|Brazil|UAE|Bulgaria|Pakistan|India|South Korea|Algeria|Egypt|USA|Serbia|Canada|Syria,1069
Storm-0062,622,DarkShadow|Oro0lxy,,,0
Dark Pink,509,SaaiwcGroup|Saaiwc Group|Dark Pink|DarkPink,Educational Services|Public Administration|National Security&International Affairs,Brunei|Cambodia|Thailand|Indonesia|Malaysia|Vietnam|Belgium|Philippines|Bosnia and Herzegovina,0
RedStinger,340,RedStinger|Bad Magic|CloudWizard,Agriculture&Forestry|Transportation&Warehousing|Public Administration|National Security&International Affairs,Ukraine,0
Altahrea Team,629,,,,0
Putter Panda,573,Putter Panda|Sulphur|Group 36|TG-6952|SearchFire|APT 2,Public Administration|Electrical&Electronical Manufacturing|National Security&International Affairs,USA,1389
GhostEmperor,265,GhostEmperor,Public Administration|Telecommunications,Thailand|Afghanistan|Egypt|Indonesia|Malaysia|Vietnam|Southeast Asia|Ethiopia,0
Ruby Sleet,421,CERIUM,,,0
Hagga,444,Aggah|TH-157,Manufacturing|Public Administration|Educational Services|Automotive|Retail|Electrical&Electronical Manufacturing|HealthCare & Social Assistance,Bahrain|Russia|China|Sweden|Germany|Taiwan|France|Romania|Israel|Ireland|Saudi Arabia|Brazil|UAE|UK|India|Italy|South Korea|Austria|Japan|Norway|Egypt|USA|Canada|Spain,806
Gnosticplayers,305,,,,0
SectorJ04,708,,,,0
REF2924,56,,,,0
Sphinx,372,APT-C-15|Sphinx,,Israel|Egypt,924
TA2722,450,Balikbayan Foxes|TA2722|BalikbayanFoxes,Energy & Utilities |Manufacturing|Finance|Chemical&Pharmaceutical Manufacturing,USA|Europe and Southeast Asia,0
Blue Tsunami,530,Black Cube|BlackCube,,,0
RANCOR,471,Rancor Group|Rancor Taurus|Rancor,Public Administration|Civic&Social Organizations,Southeast Asia|Vietnam|Cambodia|Singapore,364
Viking Jackal,179,Vikingdom,,,0
DEV-0928,571,,,,0
PerSwaysion,341,,,,0
BlackTech,289,Palmerworm|Earth Hundun|TEMP.Overboard|Radio Panda|BlackTech|Manga Taurus|Circuit Panda|T-APT-03|Red Djinn,Construction|Finance|HealthCare & Social Assistance|Public Administration|Electrical&Electronical Manufacturing,China|Japan|USA|Hong Kong|Taiwan,44
Bookworm,331,Bookworm,Public Administration|National Security&International Affairs,Thailand,0
Scarred Manticore,88,,,,0
GoldenJackal,448,GoldenJackal,Public Administration,Azerbaijan|Algeria|Iran|Iraq|Mexico|Afghanistan|Egypt|Indonesia|Germany|Pakistan|Peru|India|Turkey|Brazil,95
Ferocious Kitten,538,Ferocious Kitten,,,0
Infy,364,Prince of Persia|Infy|Operation Mermaid|APT-C-07,Public Administration,Bahrain|Russia|China|Sweden|Germany|Turkey|France|Romania|Israel|Saudi Arabia|Denmark|Iran|UK|Netherlands|India|Italy|Azerbaijan|Iraq|USA|Canada|Syria,5841
APT-C-34,654,GoldenFalcon|GoldenFalcon,,,0
APT-C-12,116,Sapphire Mushroom|BlueMushroom|SapphireMushroom|Blue Mushroom|NuclearCrisis,Public Administration|Educational Services|National Security&International Affairs|Other|Finance,,0
CyberNiggers,391,,,,0
TunnelSnake,674,,,,0
ANTHROPOID SPIDER,671,CobaltGoblin|CobaltGoblin|EmpireMonkey|EmpireMonkey,,,0
ArcaneDoor,97,,Public Administration,,32
ShadowSyndicate,539,,,,0
Storm-1099,565,,,,0
PowerPool,127,IAmTheKing|PowerPool,,Russia|Chile|Malaysia|USA|Germany|others|UK|Poland|India|Ukraine|Philippines,1451
Operation NightScout,346,,,,0
Keksec,462,,,,0
Storm-1101,597,DEV-1101,,,0
Operation Potao Express,205,Operation Potao Express|OperationPotaoExpress,,Belarus|Russia|Ukraine|Georgia,0
Operation Electric Powder,580,OperationElectricPowder|Operation Electric Powder,Energy & Utilities ,Israel,0
CiberInteligenciaSV,291,,,,0
Taidoor,728,Taidoor|Earth Aughisky|Budminer,Public Administration,Japan|USA|Taiwan|South Korea|Brazil,551
NoName057(16),34,05716nnm|Nnm05716|NoName057|NoName05716,Manufacturing|Public Administration|Educational Services|Restaurants|Energy & Utilities |Insurance|National Security&International Affairs|Telecommunications|Transportation&Warehousing|Electrical&Electronical Manufacturing|Banking|Finance|HealthCare & Social Assistance|Delivery Services,"China|Argentina|Lithuania|United Kingdom|Malaysia|Sweden|Germany|France|Ireland|Poland|Latvia|Denmark|Finland|NATO|Netherlands|Italy|Ukraine|Austria|Estonia|Russian Federation|Japan|Bangladesh|Norway|Slovakia|Czech Republic|Singapore|Korea, Republic of|Canada|Spain",31775
Sabre Panda,697,,,,0
Red Menshen,322,RedDev18|Red Dev 18,Educational Services|Public Administration|Delivery Services,"Middle East|Asia|Hong Kong|Myanmar|Korea, Republic of|India|Turkey",42
Operation Groundbait,270,Operation Groundbait|OperationGroundbait,Public Administration,Ukraine,0
Gelsemium,55,狼毒草|Gelsemium,Public Administration|Educational Services|National Security&International Affairs|Civic&Social Organizations|Electrical&Electronical Manufacturing|Other|Arts & Entertainment,Djibouti|Russia|China|Mongolia|Lao People's Democratic Republic|Argentina|Yemen|Brunei|Indonesia|Malaysia|Taiwan|Turkey|Kenya|Israel|Swaziland|Jordan|Sri Lanka|Oman|Vietnam|Saudi Arabia|UAE|Iran|Laos|Pakistan|Hong Kong|UK|Kuwait|South Korea|Russian Federation|Japan|North Korea|Iraq|Nigeria|Thailand|Gaza|Equatorial Guinea|Egypt|Lebanon|Syria,61
TA578,568,,,,128
Cyber Berkut,528,Cyber Berkut|Kiberberkut,Finance|Public Administration|National Security&International Affairs,Estonia|NATO|USA|Germany|Ukraine,0
CHERNOVITE,465,,,,0
Corsair Jackal,705,TunisianCyberArmy,,,0
ShaggyPanther,146,ShaggyPanther,Public Administration,Syria|Taiwan|Indonesia|Malaysia,0
PKPLUG,602,,,,279
UNC5266,408,,,,0
Scarab,165,UAC-0026|Scarab,,"Russia|Kazakhstan|Mexico|Armenia|Israel|Uzbekistan|Tajikistan|Turkmenistan|Kyrgyzstan|Poland|Brazil|United States|Belarus|Moldova, Republic of|Ukraine|Russian Federation|Thailand|USA|Syria",263
Threat Group-1314,155,TG-1314,,,0
