ACTOR NAME,SOCRADAR RANK,ALIASES,SECTORS,TARGET COUNTRIES,TOTAL IOCS
Temper Panda,713,admin@338|Team338|Magnesium|Temper Panda,Finance|Public Administration|National Security&International Affairs,USA|Hong Kong,3
Avivore,233,AVIVORE,Energy & Utilities |Space & Defense|Automotive,Europe|UK,0
DEV-0950,194,LaceTempest|Lace Tempest,,,7
SLIME29,518,,Other,,0
Electric Panda,698,,,,0
Bohrium,630,BOHRIUM|SmokeSandstorm|Smoke Sandstorm,,,0
Storm-1286,339,,,,0
Storm-1133,545,,,,0
NOTROBIN,734,,,,0
WIRTE,451,,,,146
TA482,208,,,,0
Phlox Tempest,436,DEV-0796,,,0
Equation,18,,,,1029
Cobalt,7,Cobalt Gang|TAG-CR3|GoldKingswood|CobaltGang|COBALT SPIDER|GOLDKINGSWOOD|Mule Libra|ATK67|Gold Kingswood|ATK 67|GOLD KINGSWOOD|Cobalt Spider|MuleLibra|Cobalt Group|CobaltSpider|COBALTSPIDER|CobaltGroup|G0080,Retail|Finance|Electrical&Electronical Manufacturing,China|Kazakhstan|Russia|Argentina|Malaysia|Taiwan|Turkey|Armenia|Romania|Tajikistan|Jordan|Kyrgyzstan|Vietnam|Poland|Belarus|Bulgaria|Czech|Moldova|Kuwait|Netherlands|UK|Italy|Ukraine|Austria|Azerbaijan|Estonia|Thailand|USA|Georgia|Canada|Spain,5848
PARINACOTA,446,WineTempest|Wine Tempest,,,0
Flax Typhoon,559,Storm-0919|Flax Typhoon|Ethereal Panda|EtherealPanda|FlaxTyphoon,Manufacturing|Educational Services|Public Administration,"Taiwan|Southeast Asia, North America and Africa",0
Stealth Falcon,290,Stealth Falcon|FruityArmor|Project Raven,,UAE|Thailand|UK|Netherlands|Saudi Arabia,20
UNC5174,304,Uteus,,,0
Operation Red Signature,303,Operation Red Signature,,South Korea,0
Impersonating Panda,593,,,,0
[Vault 7/8],316,,,,0
DEV-0569,562,Storm-0569,,,0
Lurk,567,Lurk,Finance,Russia,0
CIRCUS SPIDER,126,Circus Spider,Energy & Utilities |Manufacturing|Transportation&Warehousing|Educational Services|HealthCare & Social Assistance|Public Administration,China|Nicaragua|Russia|Argentina|Guatemala|Malaysia|Sweden|Germany|Hungary|Belgium|France|Australia|Ireland|Chile|Vietnam|New Zealand|Saudi Arabia|Poland|Brazil|Colombia|Iran|Pakistan|South Africa|Netherlands|Italy|India|Ukraine|Austria|Nigeria|Thailand|Norway|USA|Canada|Luxembourg|Spain,0
Aurora Panda,2,Tailgater Team|Group 8|Beijing Group|Aurora Panda|Dogfish|Elderwood|Bronze Keystone|TEMP.Avengers|APT 17|ATK 2|SIG22|TG-8153|Hidden Lynx|Sneaky Panda|Deputy Dog|Elderwood Gang,Construction|Public Administration|Educational Services|Energy & Utilities |Chemical&Pharmaceutical Manufacturing|National Security&International Affairs|Mining|Retail|Agriculture&Forestry|Electrical&Electronical Manufacturing|Finance|HealthCare & Social Assistance,China|Russia|Indonesia|Germany|Taiwan|Belgium|France|Switzerland|Australia|Hong Kong|UK|Netherlands|India|Italy|South Korea|Ukraine|Japan|USA|Singapore|Canada,392
Unnamed Actor,342,,Public Administration|Civic&Social Organizations,China|Myanmar|Taiwan|Hong Kong,0
Ice Fog,63,Moshen Dragon|TEMP.Trident|Dagger Panda|Icefog|RedFoxtrot|Red Wendigo|ATK 23|Nomad Panda,Construction|Public Administration|Educational Services|Space & Defense|Energy & Utilities |Chemical&Pharmaceutical Manufacturing|National Security&International Affairs|Telecommunications|Transportation&Warehousing|Agriculture&Forestry|Electrical&Electronical Manufacturing|Finance|HealthCare & Social Assistance,"Malaysia|Panama|Hong Kong|Italy|Singapore|Ukraine|Guatemala|Curaçao|Saint Martin (French part)|Belarus|Afghanistan|China|Netherlands|Trinidad and Tobago|Philippines|Canada|Georgia|Turkey|Maldives|Kazakhstan|Aruba|Germany|Japan|Saint Vincent and the Grenadines|Sint Maarten (Dutch part)|Pakistan|Australia|Anguilla|Barbados|Mexico|Tajikistan|France|Uzbekistan|Austria|Costa Rica|India|Tanzania, United Republic of|Sri Lanka|Mongolia",30934
UNION SPIDER,715,,,,0
TA577,655,Hive0118,,,5613
Sowbug,721,Sowbug,Public Administration,Argentina|Ecuador|Brunei|Malaysia|Peru|Brazil,0
Ghost Jackal,701,,,,0
HAZY TIGER,25,T-APT-17|APT-C-08|Orange Yali|Bitter|OrangeYali,Energy & Utilities |Public Administration,"China|Kazakhstan|Mexico|Germany|Armenia|Israel|Uzbekistan|Tajikistan|Turkmenistan|Kyrgyzstan|Saudi Arabia|Poland|Brazil|Belarus|Moldova, Republic of|Pakistan|India|Ukraine|Russian Federation|Thailand|Bangladesh",2797
Evilnum,15,TA4563|EvilNum|DeathStalker|Evilnum|Jointworm|KNOCKOUTSPIDER|KNOCKOUT SPIDER,Finance|Public Administration,Israel|Czech|Australia|Albania|Cyprus|UK|Belgium|Italy|Canada|Ukraine,10706
Storm-0829,590,Nwgen Team|DEV-0829|NwgenTeam,,,0
TA579,347,,,,5
test1234abc,405,,,Andorra,0
LookBack,621,LookBack|LookingFrog|Witchetty|FlowingFrog|TA410,Energy & Utilities ,USA|Middle East and Africa,0
Operation ViceLeaker,636,Operation ViceLeaker|OperationViceLeaker,,Israel,0
